"1501 2533", 26.00
"725 729", 20.90
"877 1299", 30.40
"725 2533", 32.50
"268 960", 24.70
"1501 729", 24.30
"1538 2505", 19.70
"5 960", 42.70
"824 2853", 30.20
"635 2012", 20.80
"374 1760", 22.80
"1061 2533", 22.30
"387 2853", 21.40
"893 2233", 21.00
"1272 1134", 20.90
"532 1590", 21.40
"1612 525", 23.90
"143 992", 19.50
"298 2853", 20.60
"893 2853", 23.70
"2935 2733", 22.40
"143 932", 19.70
"298 2233", 22.10
"215 2695", 20.00
"2593 1276", 26.50
"215 3000", 23.10
"893 2929", 21.30
"2950 1492", 19.20
"1124 323", 27.90
"720 2929", 20.70
"1124 2290", 23.00
"150 323", 29.90
"2950 1167", 24.40
"720 2500", 27.50
"2593 1357", 30.10
"720 2983", 23.10
"1137 291", 29.90
"216 2983", 18.80
"2879 2888", 23.20
"2122 1595", 22.70
"216 3000", 20.40
"2534 2612", 25.30
"1385 1591", 24.10
"660 3000", 20.90
"2232 1420", 25.20
"1305 1283", 21.00
"660 2786", 20.60
"734 2786", 22.00
"2487 2390", 24.50
"1305 1083", 26.70
"2984 519", 24.20
"1741 1591", 26.60
"2316 1591", 28.80
"2288 1265", 22.20
"237 465", 26.40
"884 2566", 19.90
"189 465", 19.30
"472 1484", 33.70
"2495 1591", 25.20
"1512 2189", 22.00
"321 465", 20.60
"158 341", 25.90
"757 465", 22.50
"142 1042", 21.10
"757 6", 25.60
"1565 535", 20.70
"757 443", 23.40
"523 1079", 33.10
"918 40", 32.70
"376 349", 21.30
"523 1042", 19.40
"1482 40", 29.40
"2924 2293", 31.80
"1755 40", 22.80
"1114 1010", 19.00
"236 704", 27.90
"236 177", 20.70
"2218 2852", 26.60
"5 177", 43.80
"1909 2399", 20.00
"2220 2528", 21.90
"2421 2399", 23.20
"818 2697", 22.80
"2220 2429", 30.10
"2706 2307", 21.40
"369 868", 25.90
"3000 2307", 20.00
"2849 1581", 20.90
"2098 2774", 23.30
"3000 2086", 24.50
"2862 931", 28.70
"2098 2001", 25.40
"2570 2253", 20.20
"2098 1527", 27.20
"2242 2086", 24.70
"637 1137", 21.20
"3000 1527", 25.90
"2209 2989", 23.90
"365 687", 27.30
"2700 1062", 23.80
"2242 1527", 21.90
"2643 798", 22.40
"2829 2716", 20.40
"2643 742", 19.80
"2454 2824", 21.20
"2242 2107", 19.50
"1662 742", 25.20
"2643 1413", 21.90
"1643 985", 26.90
"1774 435", 26.20
"1914 2107", 22.90
"1289 750", 23.40
"2118 897", 23.20
"2076 2107", 24.20
"307 5", 27.60
"1659 1369", 22.00
"2076 1796", 20.40
"920 1786", 20.60
"2076 2299", 21.10
"2434 2366", 21.10
"2340 2144", 23.80
"2870 136", 27.00
"2023 2144", 29.00
"480 1052", 25.90
"570 205", 21.70
"269 2148", 24.80
"570 5", 46.60
"1168 5", 29.80
"1930 376", 29.60
"3000 136", 22.60
"210 1944", 19.30
"1123 1430", 24.90
"2717 5", 35.40
"1168 1307", 21.50
"1454 2171", 25.50
"463 572", 23.50
"774 1307", 21.30
"1916 2525", 23.00
"270 1659", 21.90
"1789 602", 26.50
"2161 1462", 26.10
"436 265", 21.80
"2155 2176", 26.10
"268 265", 19.80
"2643 225", 33.30
"620 122", 24.80
"298 265", 22.40
"1063 2609", 19.90
"1284 1482", 22.80
"270 1673", 23.40
"1754 807", 29.80
"1238 1482", 22.60
"2356 204", 22.10
"1624 2361", 24.50
"1213 1482", 28.00
"2770 1517", 28.80
"1624 2457", 29.30
"2177 2087", 24.30
"1213 1209", 30.00
"1777 1209", 27.30
"1213 2218", 25.00
"2177 2613", 18.10
"1847 2613", 30.50
"2449 2218", 29.30
"1044 548", 19.50
"2563 379", 32.20
"844 548", 20.90
"5 1149", 41.50
"1961 2218", 20.60
"1961 2710", 29.00
"552 1776", 27.70
"844 778", 21.90
"1160 453", 28.40
"66 2027", 22.50
"1961 109", 20.30
"1756 2710", 28.40
"552 2123", 21.20
"609 68", 25.30
"2335 109", 30.70
"2572 1285", 31.70
"2717 1782", 24.50
"443 1068", 20.20
"2717 2379", 22.50
"2631 109", 19.90
"2013 1493", 25.20
"609 2710", 32.40
"2199 1194", 20.90
"1756 68", 19.00
"1350 1066", 25.90
"209 1650", 21.20
"1151 1066", 25.50
"1336 2987", 18.30
"1151 1093", 29.20
"1151 1001", 19.80
"2356 2922", 25.30
"1795 1194", 28.00
"1795 1770", 28.70
"1651 1767", 27.70
"2920 2833", 26.50
"1795 2207", 28.30
"902 1304", 26.30
"1151 1023", 30.70
"1795 2398", 30.90
"426 1939", 20.10
"1056 750", 21.60
"1852 2398", 23.10
"1043 266", 22.80
"2445 1799", 31.90
"1709 77", 30.30
"2084 2398", 25.40
"141 1945", 25.60
"318 1243", 23.70
"141 1873", 23.70
"2084 1873", 26.00
"1225 2331", 33.00
"141 2398", 19.80
"2084 2360", 27.90
"1327 2948", 29.00
"738 1965", 27.10
"2565 2360", 20.90
"2601 2360", 21.20
"1661 2060", 24.30
"1300 1965", 22.00
"1344 823", 28.90
"2601 1954", 19.00
"2341 887", 22.30
"1300 1682", 22.40
"2518 639", 22.00
"1273 505", 28.60
"696 2069", 21.50
"1448 1866", 26.20
"1300 2069", 25.30
"1935 1767", 22.80
"696 1682", 24.10
"486 2239", 28.60
"1184 2069", 24.50
"1184 1819", 26.60
"912 1325", 25.40
"120 1914", 37.30
"2801 1954", 23.50
"2795 2588", 28.10
"1184 1504", 26.50
"1449 1325", 28.40
"777 111", 21.70
"1428 2956", 20.90
"2671 2728", 26.10
"1434 2956", 26.60
"862 1194", 20.10
"2730 2728", 32.80
"2454 905", 24.80
"1434 3000", 21.20
"405 211", 23.20
"2721 2728", 22.10
"3000 2728", 27.80
